code;libelle
2;ARABIC (ARB)
15;BENGALI (BEN)
22;BURMESE (BUR)
11;CANTONESE (CAN)
6;DUTCH (DU)
1;ENGLISH (EN)
4;FRENCH (FR)
7;GERMAN (GE)
14;HINDI (HIN)
5;ITALIAN (IT)
8;JAPANESE (JAP)
17;KOREAN (KOR)
12;MALAY (BA)
10;MANDARIN (MAN)
21;PERSIAN (PER)
19;POLISH (POL)
9;PORTUGUESE (POR)
24;PUNJABI (PUN)
3;SPANISH (SP)
23;TELUGU (TEL)
20;THAI (TH)
18;TURKISH (TUR)
13;URDU (UR)
16;VIETNAMESE (VIE)
