id;code;libelle
1;1;Project Management & Support
2;2;Business Development
3;3;Early Stage
4;4;Engineering & Design
5;5;Specification & Procurement
6;6;Construction & Commissioning
7;7;Operation & Maintenance
8;8;Dismantling / Decommissioning
